id,code,name,code_old,name_old
activity_851207,8620.2,Actividades de odontólogos,851207,SERVICIOS DE ODONTOLOGO Y CONEXOS
activity_851208,8620.1,Actividades de médicos,851208,"OTORRINOLARINGOLOGIA, AUDIOLOGíA Y SERVICIOS CONEXOS."
activity_851209,8620.1,Actividades de médicos,851209,FARMACEUTICO O BOTICARIO
activity_851210,8620.1,Actividades de médicos,851210,CARDIOLOGOS
activity_851212,8620.1,Actividades de médicos,851212,ONCOLOGOS
activity_851213,8620.1,Actividades de médicos,851213,REUMATOLOGO
activity_851901,8690.9,Otras actividades relacionadas con la salud humana,851901,MEDICINA ALTERNATIVA
activity_851902,8690.9,Otras actividades relacionadas con la salud humana,851902,FÍSICO TERAPISTA
activity_851905,8690.9,Otras actividades relacionadas con la salud humana,851905,PSICOLOGO
activity_851906,8620.1,Actividades de médicos,851906,PSIQUIATRÍA
activity_851907,8690.9,Otras actividades relacionadas con la salud humana,851907,SERVICIOS DE ENFERMERÍA
activity_851908,8690.1,Laboratorios médicos y de diagnóstico,851908,LABORATORIOS MÉDICOS - CLÍNICOS
activity_851909,8610.0,Actividades de hospitales,851909,"SERVICIOS DE RADIOLOGÍA, ANESTESIOLOGIA Y OTROS"
activity_851910,8690.9,Otras actividades relacionadas con la salud humana,851910,TRANSPORTE EN AMBULANCIA TERRESTRE Y AEREO (SERVICIO PRIVADO)
activity_851911,7110.0,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica,851911,PROFESIONALES EN SALUD OCUPACIONAL
activity_851912,8690.9,Otras actividades relacionadas con la salud humana,851912,NUTRICIONISTA
activity_851913,8510.0,Enseñanza preescolar y primaria,851913,PROFESIONALES EN EDUCACION ESPECIAL
activity_851914,8690.9,Otras actividades relacionadas con la salud humana,851914,SERVICIOS DE PARAMEDICOS
activity_851915,8690.1,Laboratorios médicos y de diagnóstico,851915,SERVICIOS DE ESTERILIZACIÓN DE PRODUCTOS MÉDICOS Y FARMACÉUTICOS
activity_851916,8690.9,Otras actividades relacionadas con la salud humana,851916,OTRAS ACTIVIDADES RELACIONADAS CON LA SALUD HUMANA(BANCO DE SANGRE…)
activity_851917,8620.1,Actividades de médicos,851917,CIRUJANO PLÁSTICO
activity_853101,8810.0,Asistencia social sin alojamiento para el adulto mayor y personas con discapacidad,853101,FUNDACIONES DE BIEN SOCIAL
activity_853102,8790.0,Otras actividades de atención en instituciones n.c.p,853102,FUNDACIONES DE SERVICIO SOCIAL (PRIVADAS)
activity_853103,5590.0,Otras actividades de  alojamientos,853103,RESIDENCIAS UNIVERSITARIAS CON SERVICIOS INTEGRADOS
activity_853201,8890.0,Otras actividades de asistencia  social sin alojamiento n.c.p,853201,GUARDERIAS/CENTROS INFANTILES Y SERVICIOS SOCIALES
activity_853202,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",853202,SERVICIOS SOCIALES DE REDES DE CUIDO  Y CENTROS DE ATENCIÓN DE ADULTOS MAYORES
activity_853301,9499.0,Actividades de otras asociaciones n.c.p,853301,ASOCIACIONES DECLARADAS DE UTILIDAD PUBLICA POR EL PODER EJECUTIVO
activity_900001,3811.0,Recolección de desechos no peligrosos,900001,"ASESORAMIENTO Y ELIMINACION DE DESPERDICIOS, SANEAMIENTO (EXCEPTO LIMPIEZA DE TANQUES)"
activity_900002,3700.0,Evacuación de aguas residuales,900002,LIMPIEZA DE TANQUES SEPTICOS Y AGUAS REDISUALES
activity_911101,9411.0,Actividades de Asociaciones empresariales y de empleadores,911101,ACTIVIDADES DE ORGANIZACIONES EMPRESARIALES Y DE EMPLEADORES
activity_911102,9411.0,Actividades de Asociaciones empresariales y de empleadores,911102,CAMARAS DE COMERCIO
activity_911201,9412.0,Actividades de asociaciones  profesionales,911201,ACTIVIDADES DE ORGANIZACIONES PROFESIONALES
activity_912001,9420.0,Actividades de sindicatos,912001,ASOCIACIONES SOLIDARISTAS
activity_912002,9420.0,Actividades de sindicatos,912002,ACTIVIDADES DE SINDICATOS
activity_919101,9491.0,Actividades de organizaciones religiosas,919101,ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS
activity_919201,9492.0,Actividades de organizaciones políticas,919201,ACTIVIDADES DE ORGANIZACIONES POLÍTICAS
activity_919901,9499.0,Actividades de otras asociaciones n.c.p,919901,ASOCIACION DE DESARROLLO COMUNAL Y/O SERVICIOS COMUNITARIOS
activity_919903,9499.0,Actividades de otras asociaciones n.c.p,919903,"ASOCIACIONES O ENTIDADES CON FINES CULTURALES, SOCIALES, RECREATIVOS, ARTESANALE"
activity_919906,3600.0,"Captación, tratamiento y distribución  de agua",919906,ASOCIACIONES ADMINISTRADORAS DE LOS SISTEMAS DE ACUEDUCTOS Y ALCANTARILLADOS (ASADAS)
activity_921101,5911.0,"Actividades de producción de películas cinematográficas, videos y  programas de televisión",921101,ACTIVIDADES PRODUCCION POSTPRODUCCION Y DISTRIBUCION DE PELICULAS CINEMATOGRAFIC
activity_921201,5914.0,Actividades de proyección de películas,921201,EXHIBICIÓN DE FILMES Y VIDEOCINTAS  (SALAS DE CINE)
activity_921301,6010.0,Transmisiones de radio,921301,TRANSMISIONES DE RADIO
activity_921302,6020.0,Programación y transmisión de televisión,921302,PROGRAMACIÓN Y TRANSMISIONES DE TELEVISIÓN
activity_921303,6010.0,Transmisiones de radio,921303,TRANSMISIONES DE RADIO CULTURALES SEGÚN LEY GENERAL DE TELECOMUNICACIONES
activity_921401,9000.0,"Actividades creativas, artísticas y  de entretenimiento ",921401,TEATROS (EXPLOTACION)
activity_921402,9000.0,"Actividades creativas, artísticas y  de entretenimiento ",921402,ACTIVIDADES MUSICALES Y ARTÍSTICAS (SERVICIOS)
activity_921403,9000.0,"Actividades creativas, artísticas y  de entretenimiento ",921403,PERIODISTA POR CUENTA PROPIA
activity_921501,6020.0,Programación y transmisión de televisión,921501,CANALES DE TELEVISIóN
activity_921902,4762.0,Venta al por menor de grabaciones musicales y videográficas en comercios especializados,921902,"VENTA AL POR MENOR DE DISCOS, GRABACIONES DE MUSICA Y DE VIDEO"
activity_921903,9329.0,Otras actividades de esparcimiento y recreativas  n.c.p,921903,SALóN DE BAILE Y DISCOTECA
activity_921904,9329.0,Otras actividades de esparcimiento y recreativas  n.c.p,921904,SALON DE PATINES
activity_922001,6391.0,Actividades de agencias de noticias,922001,ACTIVIDADES DE AGENCIAS DE NOTICIAS
activity_923101,9101.0,Actividades de Bibliotecas y archivos,923101,ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS
activity_923201,9102.0,Actividades de museos y preservación de lugares históricos,923201,GALERIAS DE ARTE
activity_923202,9000.0,"Actividades creativas, artísticas y  de entretenimiento ",923202,SERVICIOS DE RESTAURACION DE OBRAS DE ARTE
activity_923301,9103.0,"Actividades de jardines botánicos, zoológicos y parques naturales",923301,"ACTIVIDADES DE JARDINES BOTANICOS, ZOOLOGICOS, PARQUES NACIONALES Y RESERVAS NACIONALES"
activity_924101,9311.0,Gestión de instalaciones deportivas,924101,GIMNASIOS
activity_924102,9311.0,Gestión de instalaciones deportivas,924102,EXPLOTACIÓN DE PISCINAS O ALBERCAS DE BAÑO
activity_924103,8541.0,Educación deportiva y recreativa,924103,"ENTRENADOR, INSTRUCTORES Y/O PREPARADORES FISICOS POR CUENTA PROPIA"
activity_924104,8541.0,Educación deportiva y recreativa,924104,ACTIVIDADES DE ESCUELAS Y CLUBES DEPORTIVOS
activity_924105,9311.0,Gestión de instalaciones deportivas,924105,EXPLOTACION DE INSTALACIONES Y CAMPOS DEPORTIVOS
